Feature,Mean_Absolute_SHAP,Rank
PAY_0,0.280123434813762,1
CREDIT_UTILIZATION,0.13328123713585102,2
MAX_PAY_STATUS,0.12499745397678919,3
SEVERE_DELAY_MONTHS,0.09605012667171128,4
DELAYED_MONTHS,0.08708010209322323,5
LIMIT_BAL,0.08694634851447816,6
BILL_AMT1,0.07386083929590914,7
AVG_PAY_STATUS,0.0698498230247337,8
PAY_AMT1,0.052631579849576324,9
AVG_PAY_AMT,0.04994316666183466,10
PAY_2,0.044610692724461797,11
PAYMENT_RATIO,0.04394817784244438,12
PAY_AMT2,0.043029066056874475,13
PAY_AMT3,0.04197144303081272,14
MARRIAGE,0.038018755627037056,15
PAY_AMT4,0.034991812373428514,16
SEX,0.03484263161513744,17
PAY_AMT6,0.03380389282945489,18
TOTAL_PAYMENT,0.031655016669088404,19
TOTAL_BILL,0.02730015575732802,20
PAY_3,0.025233888842682205,21
EDUCATION,0.024716502034139966,22
BILL_AMT5,0.0230030175904972,23
AGE,0.018369992724975307,24
AVG_BILL_AMT,0.0182156121208385,25
PAY_AMT5,0.016443698097878396,26
BILL_AMT2,0.01603926140935127,27
BILL_AMT3,0.01472746532441377,28
PAY_4,0.01200884475668142,29
BILL_AMT4,0.0112714842998926,30
PAY_6,0.008640488847656582,31
PAY_5,0.006581415216763797,32
BILL_AMT6,0.005130699206558625,33
